kana,kanji,english
naru,鳴る,to sound ring rumble echo
shi,市,town city
makeru,負ける,to lose be defeated
kanashii,悲しい,sad miserable unhappy
nakunaru,亡くなる,to die
igai,以外,other than excluding with the exception of
naosu,治す,to cure heal fix
shibaraku,暫く,for a moment for a minute
masagaeru,間違える,to make a mistake to commit an error
mawaru,回る,to turn revolve
suteru,捨てる,to throw away
shikkari,しっかり,tightly holding on firmly
sodateru,育てる,to raise rear
homeru,褒める,to praise commend compliment
ishi,石,stone
hazukashii,恥ずかしい,embarassing shy
nuru,塗る,spread paint smear
tomaru,泊まる,to stay over at
katazukeru,片付ける,to clean tidy up
yamu,止む,to cease stop
tooku,遠く,far away distant place
sumu,済む,be completed finish end
toutou,とうとう,finally at last ultimately in the end
tsukamaeru,捕まえる,to catch capture arrest seize
odoru,踊る,to dance
tariru,足りる,to have enough be sufficient
naoru,治る,to get better to recover
katai,硬い,hard solid tough
tateru,建てる,to build construct
sugoi,すごい,terrible dreadful amazing great wonderful
ayamaru,謝る,to apologize
korekara,これから,from now on in the future from this point
tateru,立てる,to stand up erect make
sabishii samishii,寂しい,lonely
nureru,濡れる,to get wet
nageru,投げる,to throw pitch
futoru,太る,to gain weight
yoru,寄る,to approach draw near drop by
haisha,歯医者,dentist
mairu,まいる,honorably go
meshiagaru,召し上がる,honorably eat
mezurashii,珍しい,unusual rare curious
yureru,揺れる,to shake sway waver
inoru,祈る,to pray wish
gurasu,ガラス,glass pane
komu,込む,to be crowded packed congested
oru,折る,to break fracture
nemui,眠い,sleepy drowsy
daigakusei,大学生,college student
orei,お礼,thanks gratitude
yaseru,痩せる,to become thin lose weight
tamani,たまに,occasionally once in a while now and then
kamu,噛む,to bite chew
gasu,ガス,gas gasoline petrol
sawaru,触る,to touch
oku,億,one hundred million
suri,スリ,pickpocket
hirou,拾う,to pick up gather
yaku,焼く,to grill burn roast
suberu,滑る,to glid slide slip fall
naruhodo,なるほど,i see thats right indeed
wareru,割れる,to break to be smashed
chottomo,ちっとも,not at all not a bit
otaku,お宅,house home my place
oreru,折れる,to break be broken snap fracture
utsuru,移る,to move house to transfer department
ueru,植える,to plant grow raise
hikaru,光る,to shine glitter be bright
sashiageru,差し上げる,honorably give
ji,字,character
yakeru,焼ける,to burn be roasted be sunburnt
oiwai,お祝い,gift celebration congratulations
torikaeru,取り替える,to exchange swap barter
kawaku,乾く,to get dry
tsuru,釣る,to fish catch lure tempt
youji,用事,task tasks things to do errands
narubeku,なるべく,as much as possible
asai,浅い,shallow superficial
ijimeru,いじめる,to bully torment pick on
todokeru,届ける,to deliver
tokoya,床屋,barbershop barber shop
omiyage,お土産,souvenir
haiken,拝見,seeing looking at
yoshuu,予習,lesson preparation
otsuri,お釣り,change for a purchase
tasu,足す,to add
asanebou,朝寝坊,oversleeping sleeping in late
wasuremono,忘れ物,lost item something forgotten
waku,沸く,to grow hot to boil
fukushuu,復習,review revision
saraigetsu,再来月,month after next
goshujin,ご主人,husband
saraishuu,再来週,week after next
tsuku,付く,to be attached to be connected with
kaeru,変える,to change alter
afurika,アフリカ,africa
kangoshi,看護師,nurse
furidasu,降り出す,to begin to rain snow
kedo,けど,but however although
hi,日(hi),day days sun
daibu,だいぶ,considerably greatly a lot
aida,間(aida),between gap distance duration
oya,親,parent parents
netsu,熱,heat fever
untenshu,運転手,driver chauffeur
momen,木綿,cotton
keshigomu,消しゴム,eraser rubber
tenisu,テニス,tennis
piano,ピアノ,piano
konpyu-ta,コンピュータ,computer
mawari,周り,around area vicinity
ke-ki,ケーキ,cake
biru,ビル,building bill
ka-ten,カーテン,curtain curtains
gasorin,ガソリン,gasoline petrol
aruko-ru,アルコール,alcohol
sandoicchi,サンドイッチ,sandwich
o-tobai,オートバイ,motorcycle motorbike
sarada,サラダ,salad
sofuto,ソフト,soft software
tekisuto,テキスト,text textbook
sutando,スタンド,stand station
jamu,ジャム,jam
sutereo,ステレオ,stereo
anaunsa-,アナウンサー,annoucer presenter
pa-to,パート,part part-time work
akusesari-,アクセサリー,accessory jewelry
esukare-ta-,エスカレーター,escalator
su-tsuke-su,スーツケース,suitcase
sute-ki,ステーキ,steak
ajia,アジア,asia
chekku,チェック,check bill
sandaru,サンダル,sandal
sukuri-n,スクリーン,screen
aku,開く,to open
ippai,いっぱい,full fully to capacity a lot
you,用,business task use purpose
reji,レジ,register
uchi,内,inside within among
wake,訳,conclusion judgement reason cause
okage,お陰,grace benevolence
kun,君(kun),boy junior
tsutsumu,包む,to wrap pack
kokusai,国際,international
ke,毛,hair fur
to,都,prefecture counter for cities and towns
kanai,家内,my wife
omimai,お見舞い,calling on someone who is ill
sou,そう,appearing seeming that looking like
sonna,そんな,such that sort of that kind of
moshi,もし,if in case supposing
hijouni,非常に,very extremely
dakara,だから,so therefore accordingly
hakkiri,はっきり,clearly plainly distinctly
sukkari,すっかり,all completely totally entirely
konsa-to,コンサート,concert
yatto,やっと,at last finally barely
anna,あんな,that sort of that kind of
puresento,プレゼント,present gift
taipu,タイプ,type kind sort
repo-to,レポート,report paper
sorosoro,そろそろ,slowly quietly steadily gradually
kome,米,rice
beru,ベル,bell
irassharu,いらっしゃる,to come go be honorific
sorede,それで,and thereupon because of that
dondon,どんどん,drumming noise rapidly quickly continuously
su-tsu,スーツ,suit
wa-puro,ワープロ,word processor
chan,ちゃん,suffix for familiar person
yogoreru,汚れる,to get dirty
pasokon,パソコン,personal computer pc
konogoro,この頃,these days nowadays at present lately
pasokon,パソコン,personal computer pc
handobaggu,ハンドバッグ,handbag purse
arubaito,アルバイト,part time job
suruto,すると,thereupon hereupon
konoaida,この間,the other day lately recently
sakki,さっき,a short while ago just now
soreni,それに,besides in addition moreover also
sutto,すっと,straight quickly directly all of a sudden
sonnani,そんなに,so much so like that
ossharu,おっしゃる,to say speak honorific
un,うん,yes yeah uh huh
aa,ああ,ah like that so
goranninaru,ご覧になる,honorably see
kawaru,変わる,to change be transformed
hisashiburi,久しぶり,long time first in a while
nikaidate,二階建て,two story building
hiruyasumi,昼休み,lunch break noon rest
omatsuri,お祭り,festival
tsuma,端,edge tip end
asoko,あそこ,there over there that place
